112086	1
107813	0
118303	0
107489	0
120704	1
115109	1
105136	1
113452	0
109098	0
110635	1
113025	0
108083	0
112353	0
108525	0
107261	0
105321	1
119526	1
114089	0
102857	0
103139	0
100801	1
109020	1
116598	1
102691	0
112152	0
108351	0
107876	0
116743	1
115798	0
118265	1
115793	0
121359	1
120779	0
105333	0
114234	1
105700	1
114153	1
116209	1
103458	1
113715	0
106252	0
105842	0
111393	1
116113	1
120884	0
119367	0
115925	0
110218	1
114267	0
106095	1
114331	1
117490	1
105669	1
104131	0
117792	1
112426	0
103949	1
100416	1
101760	0
112461	1
112993	1
113042	1
101553	0
114493	0
111921	0
100914	1
120639	0
101053	1
115463	0
106932	1
115639	0
111560	1
101618	0
104257	0
101309	0
118852	1
108973	1
119767	0
121425	0
107929	1
108910	1
102745	0
113742	1
109177	1
103755	0
114144	0
117376	1
109606	1
103764	1
113258	1
111669	0
105041	0
101393	0
102463	0
100235	1
106662	1
114100	0
118117	1
112069	1
114189	0
109101	1
118061	1
117226	1
110460	0
100454	0
101594	0
116839	0
107917	1
114948	0
114497	1
104242	0
120379	1
107315	0
116585	0
102082	0
111952	1
113697	0
111947	1
113626	1
103812	1
100560	0
113529	1
113812	0
116054	1
116551	0
120252	0
100665	1
103443	1
114460	0
110125	0
101991	0
100304	0
108105	0
112665	1
103213	1
101562	0
118278	1
109901	0
102629	1
108249	0
111376	1
109972	1
103332	1
110530	1
106515	1
105542	0
112357	1
114243	1
111138	0
102862	0
109224	0
116658	1
119290	0
121174	1
111531	0
116731	0
111892	0
117482	1
101380	0
119883	0
110345	0
101972	0
100015	1
108512	1
121589	1
114506	1
117966	0
106519	0
103766	1
110711	1
114568	1
112005	0
113684	0
106445	1
110829	1
119570	1
103177	1
108921	0
106389	0
111746	0
119184	0
103243	1
106637	0
109684	0
113760	1
102863	1
113158	1
103545	1
108991	0
118631	1
107188	0
103106	1
109496	0
115832	1
115706	0
114656	1
111437	1
107309	1
118893	1
119128	1
118902	1
108298	1
100917	0
105171	0
116876	0
118925	1
103575	1
117021	0
111772	1
105146	0
121482	1
108180	1
100660	1
108594	0
114852	1
103120	1
105393	0
107367	1
110420	1
104085	0
114574	1
109585	1
113945	0
115424	0
117261	0
111433	1
104915	1
115599	1
104129	1
104828	0
120714	0
116367	1
107613	0
119572	1
111490	0
118931	0
101567	0
107419	1
